%time,field.seq,field.stamp,field.frame_id
1481431649321305990,26074,1468242495777000000,/camera
1481431649352257966,26075,1468242495811000000,/camera
1481431649385139942,26076,1468242495844000000,/camera
1481431649425128936,26077,1468242495877000000,/camera
1481431649454796075,26078,1468242495911000000,/camera
1481431649486217975,26079,1468242495944000000,/camera
1481431649521910905,26080,1468242495977000000,/camera
1481431649552941083,26081,1468242496011000000,/camera
1481431649593455076,26082,1468242496044000000,/camera
1481431649623791933,26083,1468242496077000000,/camera
1481431649653966903,26084,1468242496111000000,/camera
1481431649685652971,26085,1468242496144000000,/camera
1481431649719532966,26086,1468242496177000000,/camera
1481431649760119915,26087,1468242496211000000,/camera
1481431649786820888,26088,1468242496244000000,/camera
1481431649821559906,26089,1468242496277000000,/camera
1481431649852034091,26090,1468242496311000000,/camera
1481431649886075019,26091,1468242496344000000,/camera
1481431649923027992,26092,1468242496377000000,/camera
1481431649952188014,26093,1468242496411000000,/camera
1481431649986490011,26094,1468242496444000000,/camera
1481431650021377086,26095,1468242496477000000,/camera
1481431650054552078,26096,1468242496510000000,/camera
1481431650087475061,26097,1468242496544000000,/camera
1481431650120157003,26098,1468242496577000000,/camera
1481431650152246952,26099,1468242496610000000,/camera
1481431650183676958,26100,1468242496644000000,/camera
1481431650222297906,26101,1468242496677000000,/camera
1481431650253283977,26102,1468242496710000000,/camera
1481431650284651994,26103,1468242496744000000,/camera
1481431650319940090,26104,1468242496777000000,/camera
1481431650350589990,26105,1468242496810000000,/camera
1481431650385337114,26106,1468242496844000000,/camera
1481431650420912027,26107,1468242496877000000,/camera
1481431650451437950,26108,1468242496910000000,/camera
1481431650483807086,26109,1468242496944000000,/camera
1481431650517990112,26110,1468242496977000000,/camera
1481431650551641941,26111,1468242497010000000,/camera
1481431650584897994,26112,1468242497044000000,/camera
1481431650626302003,26113,1468242497077000000,/camera
1481431650655056953,26114,1468242497110000000,/camera
1481431650687124013,26115,1468242497144000000,/camera
1481431650723457098,26116,1468242497177000000,/camera
1481431650753135919,26117,1468242497210000000,/camera
1481431650786186933,26118,1468242497243000000,/camera
1481431650822432994,26119,1468242497277000000,/camera
1481431650852941036,26120,1468242497310000000,/camera
1481431650885392904,26121,1468242497343000000,/camera
1481431650918868064,26122,1468242497377000000,/camera
1481431650950306892,26123,1468242497410000000,/camera
1481431650987616062,26124,1468242497443000000,/camera
1481431651020405054,26125,1468242497477000000,/camera
1481431651053281068,26126,1468242497510000000,/camera
1481431651093677043,26127,1468242497543000000,/camera
1481431651125216960,26128,1468242497577000000,/camera
1481431651155998945,26129,1468242497610000000,/camera
1481431651186234951,26130,1468242497643000000,/camera
1481431651218827962,26131,1468242497677000000,/camera
1481431651258001089,26132,1468242497710000000,/camera
1481431651285696029,26133,1468242497743000000,/camera
1481431651319746017,26134,1468242497777000000,/camera
1481431651351600885,26135,1468242497810000000,/camera
1481431651386014938,26136,1468242497843000000,/camera
1481431651422656059,26137,1468242497877000000,/camera
1481431651453659057,26138,1468242497910000000,/camera
1481431651486042976,26139,1468242497943000000,/camera
1481431651518529891,26140,1468242497976000000,/camera
1481431651551393032,26141,1468242498010000000,/camera
1481431651588272094,26142,1468242498043000000,/camera
1481431651618664979,26143,1468242498076000000,/camera
1481431651651827096,26144,1468242498110000000,/camera
1481431651682935953,26145,1468242498143000000,/camera
1481431651718426942,26146,1468242498176000000,/camera
1481431651756064891,26147,1468242498210000000,/camera
1481431651785262107,26148,1468242498243000000,/camera
1481431651816201925,26149,1468242498276000000,/camera
1481431651851865053,26150,1468242498310000000,/camera
1481431651884751081,26151,1468242498343000000,/camera
1481431651922336101,26152,1468242498376000000,/camera
1481431651955104112,26153,1468242498410000000,/camera
1481431651983947038,26154,1468242498443000000,/camera
1481431652022592067,26155,1468242498476000000,/camera
1481431652051207065,26156,1468242498510000000,/camera
1481431652088552951,26157,1468242498543000000,/camera
1481431652122963905,26158,1468242498576000000,/camera
1481431652154380083,26159,1468242498610000000,/camera
1481431652186037063,26160,1468242498643000000,/camera
1481431652217252016,26161,1468242498676000000,/camera
1481431652255831956,26162,1468242498709000000,/camera
1481431652285521984,26163,1468242498743000000,/camera
1481431652318459033,26164,1468242498776000000,/camera
1481431652351516962,26165,1468242498809000000,/camera
1481431652383449077,26166,1468242498843000000,/camera
1481431652421679019,26167,1468242498876000000,/camera
1481431652452734947,26168,1468242498909000000,/camera
1481431652483203887,26169,1468242498943000000,/camera
1481431652517153978,26170,1468242498976000000,/camera
1481431652550036907,26171,1468242499009000000,/camera
1481431652588418960,26172,1468242499043000000,/camera
1481431652617970943,26173,1468242499076000000,/camera
1481431652650300979,26174,1468242499109000000,/camera
1481431652685446977,26175,1468242499143000000,/camera
1481431652717636108,26176,1468242499176000000,/camera
1481431652753321886,26177,1468242499209000000,/camera
1481431652783718109,26178,1468242499243000000,/camera
1481431652817001104,26179,1468242499276000000,/camera
1481431652849611997,26180,1468242499309000000,/camera
1481431652883083105,26181,1468242499343000000,/camera
1481431652921602010,26182,1468242499376000000,/camera
1481431652951718091,26183,1468242499409000000,/camera
1481431652987536907,26184,1468242499443000000,/camera
1481431653018834114,26185,1468242499476000000,/camera
1481431653052102088,26186,1468242499509000000,/camera
1481431653087222099,26187,1468242499542000000,/camera
1481431653118128061,26188,1468242499576000000,/camera
1481431653149200916,26189,1468242499609000000,/camera
1481431653182754993,26190,1468242499642000000,/camera
1481431653219233036,26191,1468242499676000000,/camera
1481431653254091978,26192,1468242499709000000,/camera
